a1,a2,a3,a4,a5,a6,intercept,T,A,B,C
-3.3395608118162306e-12,-8.347807283542528e-10,-2.871341127337478e-07,4.6067895216758144e-10,-2.6299472715938894e-13,5.1883800552712704e-17,59.60075578010535,101,1.305,0.009,0.000400
-3.429046794925758e-12,-8.571492872575678e-10,-2.94828077821977e-07,4.756642573470491e-10,-2.73070073986873e-13,5.4174017473183775e-17,60.11188231235375,101,1.305,0.0105,0.0001
-3.471490669106731e-12,-8.677588616063067e-10,-2.9847738177965226e-07,4.837097318953537e-10,-2.7894941353399263e-13,5.559251643660182e-17,60.15476528411466,101,1.305,0.01,0.0001
-2.6137449177646327e-12,-6.533505977464541e-10,-2.2472881166804073e-07,3.2209118235649436e-10,-1.614705876776516e-13,2.7370270468478696e-17,60.24259020274717,101,1.355,0.0095,0.0001
-2.6739202121861856e-12,-6.68392445176469e-10,-2.2990265520865133e-07,3.331404840399446e-10,-1.6938080814581945e-13,2.9251461433385474e-17,60.371442517302214,101,1.355,0.009,0.0001
-2.4901659521519065e-12,-6.224599146309283e-10,-2.1410355016565834e-07,2.9946461456091893e-10,-1.453036020748084e-13,2.3530899493981667e-17,59.966735612415825,101,1.355,0.0105,0.0001
-2.552457752600463e-12,-6.380308191171307e-10,-2.194593699691361e-07,3.1085920525793743e-10,-1.5343997189793953e-13,2.546223821001526e-17,60.107561300453796,101,1.355,0.01,0.0001
-1.3330473811293172e-12,-3.33218272629759e-10,-1.1461503987315147e-07,8.651690234544851e-11,7.164578523396534e-15,-1.2706981427251242e-17,58.55366686982347,101,1.405,0.0095,0.0001
-1.4123222513013858e-12,-3.5303438724531277e-10,-1.214310565583902e-07,1.0069973874567455e-10,-2.808230193771063e-15,-1.0366424041957679e-17,58.78943235717612,101,1.405,0.009,0.0001
-1.1727236644562547e-12,-2.9314260749850913e-10,-1.0083048075806714e-07,5.788403548581641e-11,2.727282142295617e-14,-1.742179529082843e-17,58.06867456419299,101,1.405,0.0105,0.0001
-1.2531747815890345e-12,-3.132527452758604e-10,-1.0774763066578764e-07,7.224431013966329e-11,1.7191824173047684e-14,-1.505877623161078e-17,58.313351967283936,101,1.405,0.01,0.0001
3.183387298491972e-13,7.957403085882913e-11,2.737037160729552e-08,-2.1070557051053539e-10,2.1677645509337965e-13,-6.197536985013331e-17,54.83221470741899,101,1.455,0.0095,0.0001
2.2743859108415676e-13,5.685198035696873e-11,1.9554819156105387e-08,-1.9478599862696903e-10,2.0575534309309973e-13,-5.941945052501276e-17,55.159243692754515,101,1.455,0.009,0.0001
4.998625360384178e-13,1.249490231655777e-10,4.297770570611541e-08,-2.4244853563696295e-10,2.387270737976312e-13,-6.706139151278958e-17,54.1719508237131,101,1.455,0.0105,0.0001
4.091516509270347e-13,1.0227427982251517e-10,3.5178425146563195e-08,-2.2659417679990585e-10,2.277679181226e-13,-6.452291210236794e-17,54.5031179007023,101,1.455,0.01,0.0001
2.201220399179353e-12,5.50232633940768e-10,1.8925967767807813e-07,-5.40870707508409e-10,4.4522844598465096e-13,-1.148897478516831e-16,48.95947342289934,101,1.505,0.0095,0.0001
2.1113050623707435e-12,5.277567509818175e-10,1.815287972916874e-07,-5.25598919609421e-10,4.3490204629350926e-13,-1.1253947198438054e-16,49.357888295499876,101,1.505,0.009,0.0001
2.37816895278254e-12,5.944639645190894e-10,2.044736351437317e-07,-5.708741013580258e-10,4.654884678252706e-13,-1.1949574321579744e-16,48.168042642906926,101,1.505,0.0105,0.0001
2.290160258222836e-12,5.724646794987681e-10,1.969066869511304e-07,-5.559592578984916e-10,4.55421412607557e-13,-1.172078664631924e-16,48.56284495839833,101,1.505,0.01,0.0001
3.989516395129248e-12,9.972479368295968e-10,3.4301656667698965e-07,-8.444609064334838e-10,6.500669363461225e-13,-1.6137997661690086e-16,41.776082090584325,101,1.555,0.0095,0.0001
3.916281170839201e-12,9.789415340803611e-10,3.367198343555461e-07,-8.323598351702472e-10,6.420658193373183e-13,-1.595926162983209e-16,42.15223254561675,101,1.555,0.009,0.0001
4.132125589292472e-12,1.0328955554929165e-09,3.552780424353715e-07,-8.679816264729752e-10,6.655941076589896e-13,-1.6484383831449596e-16,41.03764087609606,101,1.555,0.0105,0.0001
4.061480315358091e-12,1.0152365553015497e-09,3.492039928578082e-07,-8.563378057115693e-10,6.579118848590895e-13,-1.631309165867004e-16,41.404486895585194,101,1.555,0.01,0.0001
-1.7495384075675365e-12,-4.373273339602385e-10,-1.5042472099045216e-07,1.765645720862641e-10,-6.373904722243651e-14,5.246036059023441e-18,56.52817908550723,111,1.305,0.0095,0.0001
-1.819468637702599e-12,-4.548075950772928e-10,-1.5643728946034843e-07,1.893172388494667e-10,-7.282243192456587e-14,7.397733769711953e-18,56.6877350529896,111,1.305,0.009,0.0001
-1.7894636855203323e-12,-4.4730734214339683e-10,-1.538574774493494e-07,1.8400866992908967e-10,-6.911525169088244e-14,6.531595737599381e-18,56.583021761234576,111,1.305,0.009,0.000130
-1.759374797138259e-12,-4.3978610791378373e-10,-1.5127044864055105e-07,1.7868643070960152e-10,-6.539917077616158e-14,5.663501840563498e-18,56.47782931200607,111,1.305,0.009,0.000160
-1.7292806937656e-12,-4.322635701039745e-10,-1.4868297144462097e-07,1.7336617563789588e-10,-6.168591557314661e-14,4.796316246809128e-18,56.37217894535066,111,1.305,0.009,0.000190
-1.6990657524491052e-12,-4.2471082677461414e-10,-1.4608510465665915e-07,1.680252354977291e-10,-5.7958584763553e-14,3.925912055728914e-18,56.265954054088226,111,1.305,0.009,0.000220
-1.6688332809696027e-12,-4.1715370147697027e-10,-1.434857306295452e-07,1.6268356815319958e-10,-5.423204534886989e-14,3.055938357631468e-18,56.159390039054756,111,1.305,0.009,0.000250
-1.6385368689819456e-12,-4.0958059314964056e-10,-1.4088085902453806e-07,1.5733206948148388e-10,-5.0499390780480434e-14,2.1846682964638635e-18,56.0523463641089,111,1.305,0.009,0.000280
-1.6081910186871872e-12,-4.019951268665605e-10,-1.3827173673398468e-07,1.5197345566434331e-10,-4.6762559424894065e-14,1.312555700951379e-18,55.94487539599781,111,1.305,0.009,0.000310
-1.577790245953967e-12,-3.9439593177546524e-10,-1.356578922354294e-07,1.4660635543267137e-10,-4.302042848995955e-14,4.393185485493673e-19,55.83698552932475,111,1.305,0.009,0.000340
-1.5473657670513368e-12,-3.8679081091752833e-10,-1.3304200948786526e-07,1.412372232388396e-10,-3.9278018319511835e-14,-4.337780980571453e-19,55.728739363264786,111,1.305,0.009,0.000370
-1.5169146433008004e-12,-3.7917902972107945e-10,-1.3042383582687697e-07,1.3586440270556322e-10,-3.553357367719925e-14,-1.3072493724608715e-18,55.62022318003521,111,1.305,0.009,0.000400
-1.6065277666992221e-12,-4.0157936994330505e-10,-1.3812873289687045e-07,1.5054732932761986e-10,-4.523793101491996e-14,8.686397397088369e-19,56.19080372086215,111,1.305,0.0105,0.0001
-1.6785241560280026e-12,-4.195761030634058e-10,-1.44318948834748e-07,1.6363467095548297e-10,-5.453928175485544e-14,3.0684583159962908e-18,56.36247142959668,111,1.305,0.01,0.0001
-1.6701815138463256e-13,-4.1749236958406926e-11,-1.436036871990183e-08,-1.113810862799513e-10,1.4079634538004727e-13,-4.308030113182908e-17,54.07080939182672,111,1.355,0.0095,0.0001
-2.558829469983575e-13,-6.396251811770644e-11,-2.200092283577627e-08,-9.552956858619413e-11,1.2967793540598378e-13,-4.0476359097620515e-17,54.337367558089,111,1.355,0.009,0.0001
1.192736604367483e-14,2.9812670450290482e-12,1.0252843565471254e-09,-1.4325643428660252e-10,1.6313143373065173e-13,-4.8307173228570146e-17,53.52686659521119,111,1.355,0.0105,0.0001
-7.772824621749187e-14,-1.9429692349760925e-11,-6.6832638576268285e-09,-1.272938959677835e-10,1.5195038898274788e-13,-4.5691275316592685e-17,53.80060861313551,111,1.355,0.01,0.0001
1.8048889180407691e-12,4.5116278385099735e-10,1.551832887442679e-07,-4.645882487835922e-10,3.889372473414226e-13,-1.0122259501848382e-16,49.5678605770612,111,1.405,0.0095,0.0001
1.70703192109502e-12,4.267017472060342e-10,1.467695888174952e-07,-4.474401340330841e-10,3.770658403121522e-13,-9.847030985553131e-17,49.91166601770515,111,1.405,0.009,0.0001
1.9994073100212183e-12,4.997859959632024e-10,1.7190789135170132e-07,-4.986370788356613e-10,4.124886501204264e-13,-1.0667906534571332e-16,48.8790383965977,111,1.405,0.0105,0.0001
1.9023884894126406e-12,4.755344758527798e-10,1.6356625740330442e-07,-4.816612230959036e-10,4.0074994073776803e-13,-1.039600191938956e-16,49.22350550823073,111,1.405,0.01,0.0001
3.988960617738455e-12,9.97109004702155e-10,3.429687737736049e-07,-8.490142908901874e-10,6.555151811833519e-13,-1.6304938545369153e-16,43.27819518185418,111,1.455,0.0095,0.0001
3.896222705521699e-12,9.739275707358194e-10,3.3499520986495464e-07,-8.33108143483901e-10,6.446847074290661e-13,-1.6057158970619258e-16,43.656254983825036,111,1.455,0.009,0.0001
4.170774416544013e-12,1.042556486499951e-09,3.58601042360419e-07,-8.801464075680686e-10,6.766844856382617e-13,-1.678871233278596e-16,42.530007926707356,111,1.455,0.0105,0.0001
4.080478073525798e-12,1.0199853646454475e-09,3.508374034169926e-07,-8.646931426167871e-10,6.661809742089156e-13,-1.6548762270041828e-16,42.90273584410533,111,1.455,0.01,0.0001
6.021405073364857e-12,1.5051534067752256e-09,5.177174352997539e-07,-1.195754841923969e-09,8.901553442343709e-13,-2.1639970207898235e-16,35.74006402864533,111,1.505,0.0095,0.0001
5.9514504561189804e-12,1.4876670480469928e-09,5.117027680257728e-07,-1.184259148758421e-09,8.825969640493649e-13,-2.147203767134339e-16,36.10014362721623,111,1.505,0.009,0.0001
6.156411352153094e-12,1.5389005462759532e-09,5.293252159653037e-07,-1.2178802594970275e-09,9.046681500170308e-13,-2.1961738563359088e-16,35.037240015015186,111,1.505,0.0105,0.0001
6.08971635314598e-12,1.5222289850904718e-09,5.235908091727872e-07,-1.2069599874109223e-09,8.975109037813342e-13,-2.1803164768853402e-16,35.38575543459099,111,1.505,0.01,0.0001
7.545360507846195e-12,1.886092259110538e-09,6.487464578423208e-07,-1.4440247700639716e-09,1.0517261639359773e-12,-2.5191723021902177e-16,28.49118422542272,111,1.555,0.0095,0.0001
7.502432203521274e-12,1.875361591177557e-09,6.450555003994653e-07,-1.4374008949179658e-09,1.047612172367871e-12,-2.5104956518039837e-16,28.774831730552073,111,1.555,0.009,0.0001
7.626856910975259e-12,1.906463686726405e-09,6.557534842316795e-07,-1.456518523079528e-09,1.0594364209585467e-12,-2.535331529249024e-16,27.941833060840814,111,1.555,0.0105,0.0001
7.586837259290873e-12,1.8964600864730086e-09,6.52312611426066e-07,-1.4503974680246199e-09,1.0556675337806937e-12,-2.5274504121751857e-16,28.213517116920485,111,1.555,0.01,0.0001
-3.711875011357284e-12,-9.278469528730563e-10,-3.1914539148920653e-07,6.050317795426411e-10,-3.9788453438725065e-13,8.879789036426734e-17,30.920018229848377,11,1.305,0.0095,0.0001
