	65.0	70.0	75.0	65.0	70.0	75.0	
409.0	58.16	64.749	71.567	28.091	25.533	24.21	
410.0	58.252	64.747	71.27	28.031	25.423	24.179	
411.0	58.335	64.73	70.956	27.868	25.362	24.088	
412.0	58.409	64.698	70.627	27.819	25.199	23.977	
413.0	58.473	64.649	70.284	27.751	25.068	23.815	
414.0	58.529	64.587	69.93	27.647	25.046	23.779	
415.0	58.576	64.511	69.567	27.567	24.906	23.666	
416.0	58.614	64.422	69.196	27.436	24.81	23.564	
417.0	58.643	64.319	68.818	27.395	24.667	23.442	
418.0	58.663	64.205	68.435	27.242	24.576	23.314	
419.0	58.675	64.08	68.048	27.24	24.539	23.278	
420.0	58.678	63.943	67.658	27.177	24.391	23.051	
421.0	58.673	63.797	67.265	26.993	24.277	23.05	
422.0	58.661	63.641	66.872	27.016	24.164	22.99	
423.0	58.64	63.476	66.478	26.934	24.088	22.879	
424.0	58.611	63.302	66.084	26.867	24.049	22.714	
425.0	58.575	63.121	65.692	26.755	23.89	22.644	
426.0	58.532	62.933	65.3	26.651	23.86	22.58	
427.0	58.481	62.737	64.911	26.553	23.755	22.538	
428.0	58.424	62.536	64.524	26.479	23.663	22.372	
429.0	58.36	62.329	64.139	26.519	23.569	22.282	
430.0	58.289	62.117	63.758	26.369	23.426	22.284	
431.0	58.213	61.9	63.38	26.264	23.503	22.162	
432.0	58.13	61.679	63.005	26.276	23.311	21.984	
433.0	58.041	61.453	62.634	26.141	23.339	21.941	
434.0	57.947	61.225	62.268	26.086	23.175	21.795	
435.0	57.848	60.994	61.905	26.006	23.033	21.804	
436.0	57.743	60.759	61.546	25.973	22.899	21.543	
437.0	57.634	60.523	61.192	25.893	22.922	21.617	
438.0	57.52	60.284	60.843	25.872	22.893	21.469	
439.0	57.401	60.044	60.497	25.71	22.818	21.435	
440.0	57.278	59.803	60.157	25.695	22.639	21.343	
441.0	57.152	59.56	59.821	25.63	22.648	21.261	
442.0	57.021	59.317	59.489	25.588	22.648	21.104	
443.0	56.888	59.073	59.162	25.507	22.442	21.184	
444.0	56.75	58.828	58.84	25.556	22.424	20.985	
445.0	56.61	58.584	58.522	25.392	22.277	20.91	
446.0	56.467	58.339	58.209	25.234	22.293	20.863	
447.0	56.321	58.095	57.901	25.292	22.112	20.749	
448.0	56.172	57.851	57.597	25.195	22.141	20.723	
449.0	56.021	57.608	57.297	25.183	22.026	20.627	
450.0	55.868	57.365	57.002	25.118	21.916	20.654	
451.0	55.712	57.123	56.712	25.118	21.857	20.554	
452.0	55.555	56.882	56.425	25.026	21.784	20.444	
453.0	55.396	56.642	56.143	24.922	21.755	20.443	
454.0	55.236	56.403	55.865	24.835	21.684	20.273	
455.0	55.074	56.165	55.592	24.769	21.671	20.279	
456.0	54.911	55.929	55.322	24.72	21.58	20.095	
457.0	54.746	55.694	55.057	24.709	21.546	20.092	
458.0	54.581	55.461	54.796	24.66	21.441	20.062	
459.0	54.415	55.229	54.538	24.663	21.481	19.975	
460.0	54.247	54.998	54.284	24.545	21.331	19.906	
461.0	54.08	54.77	54.035	24.62	21.233	19.818	
462.0	53.911	54.543	53.789	24.431	21.183	19.772	
463.0	53.742	54.318	53.546	24.46	21.21	19.722	
464.0	53.573	54.094	53.308	24.327	21.031	19.609	
465.0	53.404	53.872	53.072	24.36	21.017	19.608	
466.0	53.234	53.653	52.841	24.267	20.954	19.454	
467.0	53.064	53.435	52.612	24.206	20.854	19.484	
468.0	52.894	53.218	52.387	24.17	20.799	19.396	
469.0	52.724	53.004	52.166	24.092	20.77	19.34	
470.0	52.555	52.792	51.947	24.061	20.699	19.193	
471.0	52.385	52.581	51.732	24.012	20.652	19.217	
472.0	52.216	52.373	51.52	23.934	20.679	19.142	
473.0	52.047	52.166	51.311	23.947	20.517	19.035	
474.0	51.878	51.961	51.105	23.908	20.509	19.076	
475.0	51.71	51.759	50.901	23.846	20.472	18.955	
476.0	51.542	51.558	50.701	23.824	20.439	18.928	
477.0	51.375	51.359	50.504	23.74	20.279	18.806	
478.0	51.208	51.162	50.309	23.684	20.28	18.775	
479.0	51.042	50.967	50.117	23.667	20.197	18.72	
480.0	50.877	50.774	49.927	23.599	20.142	18.638	
481.0	50.712	50.582	49.741	23.572	20.093	18.615	
482.0	50.548	50.393	49.556	23.495	20.1	18.561	
483.0	50.384	50.205	49.375	23.543	20.037	18.524	
484.0	50.222	50.02	49.195	23.447	19.952	18.437	
485.0	50.06	49.836	49.019	23.405	19.904	18.479	
486.0	49.899	49.654	48.844	23.388	19.787	18.36	
487.0	49.738	49.473	48.672	23.308	19.783	18.254	
488.0	49.579	49.295	48.502	23.318	19.714	18.213	
489.0	49.421	49.118	48.334	23.228	19.691	18.178	
490.0	49.263	48.943	48.169	23.239	19.606	18.185	
491.0	49.106	48.77	48.005	23.162	19.598	18.078	
492.0	48.951	48.599	47.844	23.125	19.513	18.036	
493.0	48.796	48.429	47.685	23.098	19.505	17.975	
494.0	48.642	48.261	47.527	23.049	19.475	17.976	
495.0	48.489	48.095	47.372	23.039	19.452	17.877	
496.0	48.337	47.93	47.219	22.991	19.38	17.876	
497.0	48.186	47.767	47.067	22.952	19.303	17.874	
498.0	48.036	47.606	46.917	22.922	19.281	17.787	
499.0	47.887	47.446	46.77	22.888	19.204	17.73	
500.0	47.739	47.288	46.623	22.873	19.164	17.653	
501.0	47.592	47.132	46.479	22.799	19.155	17.607	
502.0	47.446	46.976	46.337	22.748	19.072	17.553	
503.0	47.301	46.823	46.196	22.745	19.08	17.515	
504.0	47.158	46.671	46.056	22.67	18.989	17.461	
505.0	47.015	46.52	45.919	22.66	18.966	17.426	
506.0	46.873	46.371	45.783	22.59	18.9	17.357	
507.0	46.732	46.224	45.648	22.573	18.858	17.36	
508.0	46.592	46.078	45.515	22.544	18.831	17.264	
509.0	46.453	45.933	45.384	22.54	18.784	17.234	
510.0	46.315	45.79	45.254	22.464	18.744	17.185	
511.0	46.179	45.648	45.125	22.441	18.672	17.172	
512.0	46.043	45.507	44.998	22.411	18.653	17.095	
513.0	45.908	45.368	44.872	22.38	18.604	17.039	
514.0	45.774	45.23	44.748	22.329	18.581	17.008	
515.0	45.641	45.094	44.625	22.323	18.521	16.956	
516.0	45.51	44.958	44.503	22.272	18.488	16.925	
517.0	45.379	44.824	44.382	22.233	18.453	16.889	
518.0	45.249	44.691	44.263	22.213	18.429	16.8	
519.0	45.12	44.56	44.145	22.156	18.383	16.8	
520.0	44.992	44.43	44.028	22.155	18.329	16.783	
521.0	44.865	44.301	43.913	22.107	18.281	16.705	
522.0	44.739	44.173	43.798	22.082	18.236	16.682	
523.0	44.614	44.046	43.685	22.044	18.197	16.633	
524.0	44.49	43.921	43.573	22.008	18.175	16.576	
525.0	44.367	43.796	43.462	21.973	18.11	16.541	
