wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,26.198,21.404,15.82,9.5,157.78,147.65,125.94
410.0,25.124,20.129,14.353,9.5,158.8,148.11,125.1
420.0,24.366,19.111,13.239,9.5,158.99,148.74,123.84
430.0,23.617,18.178,12.201,9.5,159.69,149.21,122.6
440.0,23.024,17.411,11.511,9.5,160.45,148.9,121.22
450.0,22.459,16.759,10.771,9.5,160.81,149.63,120.04
460.0,21.98,16.202,10.158,9.5,160.8,149.4,118.78
470.0,21.565,15.69,9.6329,9.5,161.09,150.05,117.13
480.0,21.149,15.218,9.1169,9.5,161.61,150.38,116.34
490.0,20.818,14.783,8.6605,9.5,161.74,150.54,114.78
500.0,20.493,14.409,8.2944,9.5,162.03,150.47,113.19
510.0,20.195,14.034,7.9296,9.5,162.43,150.69,112.06
520.0,19.92,13.709,7.6081,9.5,162.63,150.78,110.5
530.0,19.668,13.413,7.3402,9.5,162.92,151.07,109.28
540.0,19.441,13.135,7.0696,9.5,163.15,151.27,107.89
550.0,19.206,12.859,6.8228,9.5,163.49,151.63,106.77
560.0,19.017,12.622,6.6041,9.5,163.67,151.57,105.42
570.0,18.824,12.411,6.3891,9.5,163.87,151.78,103.9
580.0,18.656,12.199,6.2031,9.5,164.19,151.93,102.7
590.0,18.489,11.98,6.0146,9.5,164.38,152.54,101.62
600.0,18.313,11.795,5.8633,9.5,164.57,152.56,100.19
610.0,18.191,11.615,5.7129,9.5,164.61,152.73,99.139
620.0,18.048,11.443,5.5604,9.5,165.04,152.85,97.913
630.0,17.925,11.242,5.4283,9.5,165.39,152.6,96.669
640.0,17.797,11.142,5.3091,9.5,165.61,153.49,95.907
650.0,17.661,11.016,5.1939,9.5,165.49,153.68,94.349
660.0,17.563,10.884,5.0839,9.5,165.67,153.64,93.278
670.0,17.467,10.752,4.9558,9.5,166.03,154.07,92.101
680.0,17.363,10.625,4.8602,9.5,166.18,154.37,91.088
690.0,17.264,10.486,4.781,9.5,166.43,154.42,90.061
700.0,17.177,10.37,4.6892,9.5,166.64,154.85,89.081
710.0,17.1,10.253,4.5986,9.5,166.74,154.4,87.912
720.0,17.01,10.178,4.5176,9.5,167.0,155.53,86.857
730.0,16.93,10.09,4.4429,9.5,167.13,155.1,86.216
740.0,16.865,9.9734,4.4065,9.5,167.07,155.45,85.252
750.0,16.788,9.8891,4.2922,9.5,167.39,155.63,83.935
760.0,16.72,9.8021,4.2323,9.5,167.39,155.77,82.737
770.0,16.636,9.7325,4.2232,9.5,167.82,155.81,82.165
780.0,16.606,9.6434,4.1208,9.5,167.99,156.32,80.65
790.0,16.541,9.5596,4.0294,9.5,168.37,156.1,79.893
800.0,16.477,9.5068,4.0278,9.5,168.27,157.18,78.959
810.0,16.425,9.4409,3.9824,9.5,168.56,156.38,78.047
820.0,16.358,9.3552,3.9423,9.5,168.45,157.0,77.079
830.0,16.309,9.2951,3.8923,9.5,168.43,157.14,76.246
840.0,16.253,9.2275,3.8648,9.5,168.54,157.04,75.524
850.0,16.192,9.1861,3.764,9.5,168.79,158.19,74.254
860.0,16.133,9.1062,3.7354,9.5,169.04,158.03,73.264
870.0,16.113,9.0657,3.7514,9.5,168.62,157.99,72.987
880.0,16.073,9.0017,3.7058,9.5,169.28,157.88,71.851
890.0,16.044,8.9437,3.6717,9.5,169.36,158.21,71.016
900.0,15.989,8.8783,3.6521,9.5,169.4,158.45,70.216
910.0,15.956,8.8512,3.6112,9.5,169.61,158.25,69.528
920.0,15.918,8.8144,3.588,9.5,169.52,158.71,68.681
930.0,15.863,8.7544,3.571,9.5,169.65,159.22,68.043
940.0,15.855,8.7112,3.5266,9.5,170.15,159.09,67.068
950.0,15.803,8.6756,3.5156,9.5,170.02,158.77,66.277
960.0,15.789,8.6261,3.5109,9.5,170.27,159.08,65.552
970.0,15.749,8.5798,3.474,9.5,170.24,159.69,65.322
980.0,15.717,8.5475,3.4569,9.5,170.19,159.32,64.215
990.0,15.689,8.5041,3.4322,9.5,170.23,159.89,63.292
1000.0,15.671,8.4644,3.4083,9.5,170.56,160.18,62.616
