	65	70	75	
400	154	142.54	119.89	
410	154.64	142.88	118.59	
420	155.29	143.23	117.56	
430	155.83	143.53	116.36	
440	156.44	144.3	115.05	
450	156.7	144.28	113.98	
460	157.21	144.35	112.49	
470	157.55	144.65	111.57	
480	157.95	144.96	110.16	
490	158.2	145.28	109.14	
500	158.54	145.35	107.96	
510	158.85	145.56	106.85	
520	159.26	146.02	105.59	
530	159.59	146.22	104.54	
540	159.82	146.4	103.43	
550	160.04	146.53	102.48	
560	160.41	146.8	101.31	
570	160.67	147.02	100.14	
580	160.96	147.29	99.319	
590	161.11	147.59	98.155	
600	161.46	147.96	97.23	
610	161.66	148.03	96.331	
620	161.93	148.22	95.088	
630	161.88	148.56	94.003	
640	162.38	148.84	93.389	
650	162.59	148.97	92.38	
660	162.73	149.06	91.439	
670	163.19	149.27	90.633	
680	163.31	149.55	89.599	
690	163.37	149.9	88.746	
700	163.77	150.02	87.973	
710	163.89	150.3	86.803	
720	164.04	150.58	86.089	
730	164.47	150.92	85.061	
740	164.42	151.01	84.522	
750	164.74	151.33	83.623	
760	165.08	151.24	82.932	
770	164.81	151.67	82.126	
780	165.33	152	81.158	
790	165.53	151.96	80.13	
800	165.35	152.5	79.735	
810	165.8	152.56	79.192	
820	165.88	152.82	77.871	
830	166	152.97	77.302	
840	166.21	153.2	76.718	
850	166.09	153.36	76.142	
860	166.86	153.77	75.459	
870	166.7	153.57	74.382	
880	166.67	154.02	73.648	
890	166.96	154.13	73.086	
900	167.02	154.45	72.395	
910	167.02	154.42	71.651	
920	167.28	154.62	71.035	
930	167.44	154.76	70.257	
940	167.24	155.35	70.036	
950	167.83	155.65	69.019	
960	167.82	155.38	68.521	
970	167.77	155.81	68.014	
980	167.99	155.73	67.281	
990	168.1	156.05	66.508	
1000	167.41	156.2	65.786	
