	65	70	75	
300	37.472	37.247	37.67	
310	36.303	35.975	36.342	
320	35.608	35.084	35.527	
330	35.037	34.387	34.804	
340	34.597	33.883	34.203	
350	34.442	33.617	33.806	
360	34.631	33.622	33.559	
370	33.962	32.581	32.001	
380	31.986	30.137	29.276	
390	30.371	28.138	27.192	
400	29.068	26.67	25.6	
410	28.03	25.472	24.256	
420	27.159	24.486	23.223	
430	26.442	23.588	22.286	
440	25.762	22.784	21.454	
450	25.145	22.014	20.644	
460	24.603	21.384	19.964	
470	24.139	20.807	19.331	
480	23.664	20.24	18.734	
490	23.236	19.704	18.204	
500	22.879	19.231	17.704	
510	22.514	18.805	17.228	
520	22.192	18.374	16.826	
530	21.889	17.998	16.399	
540	21.598	17.619	15.989	
550	21.334	17.272	15.618	
560	21.062	16.948	15.274	
570	20.828	16.646	14.962	
580	20.604	16.373	14.673	
590	20.384	16.091	14.349	
600	20.19	15.799	14.074	
610	19.991	15.553	13.796	
620	19.814	15.312	13.541	
630	19.639	15.077	13.283	
640	19.476	14.856	13.053	
650	19.327	14.643	12.813	
660	19.175	14.444	12.592	
670	19.038	14.26	12.399	
680	18.902	14.069	12.19	
690	18.77	13.906	11.988	
700	18.657	13.734	11.802	
710	18.527	13.567	11.598	
720	18.418	13.408	11.432	
730	18.307	13.251	11.255	
740	18.227	13.11	11.096	
750	18.118	12.958	10.941	
760	18.021	12.815	10.777	
770	17.941	12.694	10.637	
780	17.835	12.554	10.476	
790	17.758	12.424	10.328	
800	17.679	12.312	10.203	
810	17.589	12.193	10.068	
820	17.507	12.064	9.9196	
830	17.455	11.984	9.831	
840	17.377	11.868	9.7004	
850	17.313	11.767	9.5682	
860	17.239	11.68	9.4561	
870	17.177	11.575	9.3496	
880	17.103	11.468	9.2309	
890	17.049	11.388	9.1424	
900	16.99	11.305	9.042	
910	16.931	11.22	8.9377	
920	16.885	11.139	8.8521	
930	16.828	11.052	8.7488	
940	16.782	10.971	8.6553	
950	16.732	10.897	8.5669	
960	16.685	10.828	8.4741	
970	16.639	10.736	8.3924	
980	16.592	10.664	8.3075	
990	16.544	10.593	8.2194	
1000	16.51	10.537	8.1544	
