wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,26.521,21.973,16.974,11.4,154.0,142.54,119.89
410.0,25.474,20.634,15.559,11.4,154.64,142.88,118.59
420.0,24.66,19.631,14.416,11.4,155.29,143.23,117.56
430.0,23.939,18.762,13.524,11.4,155.83,143.53,116.36
440.0,23.306,17.99,12.686,11.4,156.44,144.3,115.05
450.0,22.743,17.328,12.004,11.4,156.7,144.28,113.98
460.0,22.273,16.74,11.325,11.4,157.21,144.35,112.49
470.0,21.806,16.17,10.779,11.4,157.55,144.65,111.57
480.0,21.412,15.702,10.283,11.4,157.95,144.96,110.16
490.0,21.053,15.286,9.8427,11.4,158.2,145.28,109.14
500.0,20.719,14.892,9.4617,11.4,158.54,145.35,107.96
510.0,20.433,14.495,9.0875,11.4,158.85,145.56,106.85
520.0,20.147,14.174,8.7445,11.4,159.26,146.02,105.59
530.0,19.889,13.858,8.4382,11.4,159.59,146.22,104.54
540.0,19.646,13.546,8.1651,11.4,159.82,146.4,103.43
550.0,19.418,13.288,7.9087,11.4,160.04,146.53,102.48
560.0,19.205,13.005,7.6706,11.4,160.41,146.8,101.31
570.0,19.023,12.79,7.4337,11.4,160.67,147.02,100.14
580.0,18.856,12.574,7.2469,11.4,160.96,147.29,99.319
590.0,18.684,12.366,7.0454,11.4,161.11,147.59,98.155
600.0,18.512,12.159,6.8749,11.4,161.46,147.96,97.23
610.0,18.375,11.988,6.6944,11.4,161.66,148.03,96.331
620.0,18.244,11.83,6.5419,11.4,161.93,148.22,95.088
630.0,18.089,11.655,6.3912,11.4,161.88,148.56,94.003
640.0,17.971,11.502,6.2705,11.4,162.38,148.84,93.389
650.0,17.858,11.342,6.1124,11.4,162.59,148.97,92.38
660.0,17.743,11.197,5.992,11.4,162.73,149.06,91.439
670.0,17.648,11.069,5.8712,11.4,163.19,149.27,90.633
680.0,17.521,10.946,5.7769,11.4,163.31,149.55,89.599
690.0,17.446,10.826,5.6644,11.4,163.37,149.9,88.746
700.0,17.329,10.724,5.5766,11.4,163.77,150.02,87.973
710.0,17.248,10.569,5.4378,11.4,163.89,150.3,86.803
720.0,17.156,10.493,5.3752,11.4,164.04,150.58,86.089
730.0,17.07,10.369,5.3039,11.4,164.47,150.92,85.061
740.0,17.003,10.296,5.2187,11.4,164.42,151.01,84.522
750.0,16.945,10.197,5.1203,11.4,164.74,151.33,83.623
760.0,16.843,10.114,5.0296,11.4,165.08,151.24,82.932
770.0,16.791,10.021,5.0148,11.4,164.81,151.67,82.126
780.0,16.739,9.9335,4.9021,11.4,165.33,152.0,81.158
790.0,16.655,9.8483,4.8317,11.4,165.53,151.96,80.13
800.0,16.606,9.7684,4.8187,11.4,165.35,152.5,79.735
810.0,16.52,9.71,4.7311,11.4,165.8,152.56,79.192
820.0,16.473,9.6068,4.6698,11.4,165.88,152.82,77.871
830.0,16.432,9.5606,4.6173,11.4,166.0,152.97,77.302
840.0,16.374,9.4877,4.5507,11.4,166.21,153.2,76.718
850.0,16.327,9.4358,4.5345,11.4,166.09,153.36,76.142
860.0,16.279,9.378,4.4398,11.4,166.86,153.77,75.459
870.0,16.235,9.2921,4.4197,11.4,166.7,153.57,74.382
880.0,16.183,9.2383,4.3688,11.4,166.67,154.02,73.648
890.0,16.147,9.1829,4.329,11.4,166.96,154.13,73.086
900.0,16.105,9.1352,4.2794,11.4,167.02,154.45,72.395
910.0,16.071,9.0788,4.2473,11.4,167.02,154.42,71.651
920.0,16.027,9.0238,4.2119,11.4,167.28,154.62,71.035
930.0,15.976,8.9951,4.1768,11.4,167.44,154.76,70.257
940.0,15.952,8.9383,4.1843,11.4,167.24,155.35,70.036
950.0,15.911,8.8703,4.1008,11.4,167.83,155.65,69.019
960.0,15.881,8.813,4.0709,11.4,167.82,155.38,68.521
970.0,15.862,8.7972,4.0522,11.4,167.77,155.81,68.014
980.0,15.818,8.7482,4.0316,11.4,167.99,155.73,67.281
990.0,15.778,8.7183,3.9981,11.4,168.1,156.05,66.508
1000.0,15.764,8.6821,3.9608,11.4,167.41,156.2,65.786
