	65	70	75	
400	169.66	164.31	151.32	
410	169.52	164.74	150.8	
420	170.13	165.5	149.86	
430	170.41	165.51	150.02	
440	171.89	165.78	148.69	
450	171.12	166.03	147.48	
460	172.19	166.47	146.46	
470	172.01	166.26	145.05	
480	171.89	166.54	143.04	
490	171.91	166.7	141.99	
500	172.34	166.94	140.61	
510	172.35	167.13	139.54	
520	172.48	167.41	137.36	
530	172.86	167.19	135.93	
540	173.02	167.43	134.31	
550	172.9	167.4	132.31	
560	173.39	167.6	130.3	
570	173.28	167.68	128.86	
580	173.15	167.93	126.4	
590	173.47	168.01	124.92	
600	173.49	167.9	121.83	
610	173.61	168.13	119.74	
620	173.55	167.79	117.41	
630	173.14	167.86	114.25	
640	173.67	169.29	112.26	
650	174.37	168.88	109.84	
660	174.09	168.37	107.6	
670	174.09	169.57	104.54	
680	174.43	169.02	101.92	
690	174.71	168.92	99.275	
700	175.2	168.92	97.708	
710	174.48	168.91	93.6	
720	174.86	168.69	91.458	
730	174.59	168.72	88.815	
740	174.77	170.23	86.161	
750	174.63	169.66	83.386	
760	175.16	169.54	80.668	
770	175.57	169.67	78.945	
780	175.18	169.64	76.996	
790	175.11	169.51	72.46	
800	174.86	170.63	72.018	
810	175.8	169.73	70.168	
820	174.99	170.74	66.976	
830	175.32	170.51	65.394	
840	175.15	170.06	63.57	
850	176.92	169.85	62.442	
860	175.56	171.35	59.877	
870	175.04	170.96	59.664	
880	175.59	171.17	56.335	
890	175.52	170.96	55.256	
900	176.14	171.29	53.168	
910	176.15	171.13	52.451	
920	175.71	170.97	50.371	
930	175.06	170.81	49.519	
940	175.56	171.05	48.738	
950	175.27	170.74	45.365	
960	176.94	171.23	45.059	
970	175.19	171.1	45.18	
980	176	171.78	43.225	
990	176.26	171.38	41.058	
1000	176.43	171.29	42.596	
