	65	70	75	
400	26.198	21.404	15.82	
410	25.124	20.129	14.353	
420	24.366	19.111	13.239	
430	23.617	18.178	12.201	
440	23.024	17.411	11.511	
450	22.459	16.759	10.771	
460	21.98	16.202	10.158	
470	21.565	15.69	9.6329	
480	21.149	15.218	9.1169	
490	20.818	14.783	8.6605	
500	20.493	14.409	8.2944	
510	20.195	14.034	7.9296	
520	19.92	13.709	7.6081	
530	19.668	13.413	7.3402	
540	19.441	13.135	7.0696	
550	19.206	12.859	6.8228	
560	19.017	12.622	6.6041	
570	18.824	12.411	6.3891	
580	18.656	12.199	6.2031	
590	18.489	11.98	6.0146	
600	18.313	11.795	5.8633	
610	18.191	11.615	5.7129	
620	18.048	11.443	5.5604	
630	17.925	11.242	5.4283	
640	17.797	11.142	5.3091	
650	17.661	11.016	5.1939	
660	17.563	10.884	5.0839	
670	17.467	10.752	4.9558	
680	17.363	10.625	4.8602	
690	17.264	10.486	4.781	
700	17.177	10.37	4.6892	
710	17.1	10.253	4.5986	
720	17.01	10.178	4.5176	
730	16.93	10.09	4.4429	
740	16.865	9.9734	4.4065	
750	16.788	9.8891	4.2922	
760	16.72	9.8021	4.2323	
770	16.636	9.7325	4.2232	
780	16.606	9.6434	4.1208	
790	16.541	9.5596	4.0294	
800	16.477	9.5068	4.0278	
810	16.425	9.4409	3.9824	
820	16.358	9.3552	3.9423	
830	16.309	9.2951	3.8923	
840	16.253	9.2275	3.8648	
850	16.192	9.1861	3.764	
860	16.133	9.1062	3.7354	
870	16.113	9.0657	3.7514	
880	16.073	9.0017	3.7058	
890	16.044	8.9437	3.6717	
900	15.989	8.8783	3.6521	
910	15.956	8.8512	3.6112	
920	15.918	8.8144	3.588	
930	15.863	8.7544	3.571	
940	15.855	8.7112	3.5266	
950	15.803	8.6756	3.5156	
960	15.789	8.6261	3.5109	
970	15.749	8.5798	3.474	
980	15.717	8.5475	3.4569	
990	15.689	8.5041	3.4322	
1000	15.671	8.4644	3.4083	
