	65	70	75	
400	163.72	155.89	138.08	
410	164.43	156.84	136.93	
420	164.8	156.98	135.99	
430	165.6	157.63	135.12	
440	165.72	157.45	133.55	
450	165.98	157.66	131.49	
460	166.29	158.09	131.17	
470	166.31	158.23	128.9	
480	166.89	158.7	127.83	
490	167.3	158.47	125.55	
500	167.3	158.9	124.55	
510	167.42	158.9	122.96	
520	167.57	159.09	121.65	
530	168.11	159.19	120.18	
540	168.3	159.42	118.27	
550	168.49	159.79	116.43	
560	168.4	159.79	114.81	
570	168.87	160.15	113.22	
580	169.05	160.19	111.69	
590	168.89	160.35	109.77	
600	169.27	160.43	108.25	
610	169.51	160.56	106.61	
620	169.55	160.58	104.29	
630	169.78	161.23	102.47	
640	169.58	161.63	101.26	
650	170.21	161.23	99.926	
660	170.1	161.14	98.514	
670	170.02	161.57	96.384	
680	170.4	161.62	95.042	
690	170.29	161.76	93.504	
700	170.75	161.68	91.849	
710	170.67	161.76	90.023	
720	171.03	161.98	88.332	
730	171	162.57	86.931	
740	171.41	162.86	85.64	
750	171.32	162.63	84.184	
760	171.31	162.68	82.528	
770	171.77	163.04	81.235	
780	172.5	163.33	80.109	
790	171.87	163.57	77.653	
800	171.67	162.78	76.705	
810	171.76	163.01	75.719	
820	172.47	163.87	74.106	
830	172.15	163.96	73.001	
840	172.13	163.72	71.689	
850	172.61	163.99	71.441	
860	172.34	164.42	69.377	
870	172.73	164.23	67.573	
880	172.64	164.64	66.909	
890	172.96	164.77	65.801	
900	172.98	164.78	64.578	
910	172.79	164.74	63.971	
920	173.04	165.29	62.463	
930	173.26	165	61.229	
940	172.82	165.85	59.461	
950	172.99	165.29	59.76	
960	173.02	165.76	59.399	
970	173.51	165.69	57.154	
980	173.15	165.79	56.48	
990	173.59	165.76	55.394	
1000	172.97	165.87	55.542	
