	65	70	75	
400	25.694	20.165	12.521	
410	24.673	18.962	11.063	
420	23.881	17.893	10.008	
430	23.205	17.091	8.9905	
440	22.558	16.324	8.1211	
450	22.067	15.655	7.4026	
460	21.605	15.184	6.7558	
470	21.157	14.631	6.1742	
480	20.763	14.245	5.7238	
490	20.407	13.765	5.2931	
500	20.099	13.424	4.8879	
510	19.823	13.107	4.5219	
520	19.569	12.783	4.1848	
530	19.32	12.495	3.9407	
540	19.09	12.227	3.6093	
550	18.896	11.971	3.4073	
560	18.698	11.76	3.1794	
570	18.515	11.56	2.9264	
580	18.351	11.36	2.7998	
590	18.192	11.172	2.6076	
600	18.05	10.997	2.4209	
610	17.913	10.857	2.3498	
620	17.777	10.708	2.22	
630	17.66	10.56	1.9808	
640	17.529	10.433	1.9869	
650	17.443	10.303	1.8337	
660	17.327	10.188	1.7624	
670	17.228	10.062	1.6971	
680	17.134	9.9415	1.6416	
690	17.037	9.8386	1.6085	
700	16.968	9.7304	1.5621	
710	16.878	9.6361	1.524	
720	16.815	9.6166	1.5603	
730	16.731	9.4869	1.4034	
740	16.668	9.4148	1.4422	
750	16.598	9.3312	1.3257	
760	16.528	9.2515	1.3655	
770	16.479	9.2141	1.3301	
780	16.397	9.1543	1.3491	
790	16.354	9.0592	1.4558	
800	16.297	8.9886	1.3879	
810	16.241	8.9321	1.4008	
820	16.204	8.8658	1.4018	
830	16.167	8.8336	1.4215	
840	16.129	8.7919	1.445	
850	16.08	8.7233	1.3764	
860	16.037	8.6555	1.4928	
870	15.958	8.6173	1.5058	
880	15.943	8.5752	1.4756	
890	15.9	8.5339	1.4895	
900	15.869	8.4858	1.4929	
910	15.825	8.4483	1.5703	
920	15.797	8.4173	1.5434	
930	15.767	8.3891	1.5797	
940	15.731	8.3419	1.5498	
950	15.672	8.2919	1.6735	
960	15.676	8.2632	1.6848	
970	15.621	8.2025	1.6293	
980	15.605	8.199	1.6559	
990	15.584	8.1585	1.6872	
1000	15.553	8.1133	1.581	
