wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,25.904,20.589,13.54,5.4,166.08,159.79,143.71
410.0,24.87,19.297,12.077,5.4,166.8,160.26,142.88
420.0,24.027,18.276,10.932,5.4,167.19,160.22,141.41
430.0,23.332,17.447,9.8996,5.4,167.96,161.05,140.95
440.0,22.75,16.701,9.1065,5.4,167.8,161.02,139.35
450.0,22.207,16.044,8.4273,5.4,167.99,161.57,137.98
460.0,21.695,15.44,7.8095,5.4,168.67,162.18,136.69
470.0,21.32,14.916,7.2408,5.4,168.78,161.91,135.44
480.0,20.906,14.453,6.7649,5.4,169.07,162.35,134.06
490.0,20.547,14.053,6.2933,5.4,169.25,161.92,132.24
500.0,20.249,13.695,5.9493,5.4,169.34,162.24,130.82
510.0,19.948,13.371,5.6071,5.4,169.58,162.5,129.58
520.0,19.682,13.045,5.3031,5.4,169.87,162.58,127.67
530.0,19.417,12.755,4.9906,5.4,170.25,162.55,125.76
540.0,19.193,12.494,4.7408,5.4,170.18,162.75,124.44
550.0,18.988,12.228,4.518,5.4,170.25,163.01,122.54
560.0,18.783,11.988,4.3179,5.4,170.52,163.17,120.74
570.0,18.613,11.781,4.1091,5.4,170.74,163.28,119.0
580.0,18.461,11.584,3.9232,5.4,170.67,163.36,117.23
590.0,18.305,11.413,3.7423,5.4,170.87,163.43,115.19
600.0,18.137,11.211,3.6155,5.4,171.22,163.75,113.25
610.0,17.999,11.049,3.4726,5.4,171.07,163.74,111.52
620.0,17.891,10.896,3.3811,5.4,171.28,163.89,109.22
630.0,17.752,10.718,3.2831,5.4,171.47,164.99,106.68
640.0,17.643,10.621,3.1182,5.4,171.63,164.35,105.59
650.0,17.537,10.492,3.0587,5.4,172.07,164.59,103.61
660.0,17.427,10.359,2.9934,5.4,171.68,164.98,101.83
670.0,17.311,10.247,2.8928,5.4,171.88,164.39,99.742
680.0,17.226,10.139,2.8192,5.4,172.22,164.63,97.621
690.0,17.121,10.022,2.7422,5.4,172.5,165.37,95.419
700.0,17.059,9.935,2.6948,5.4,172.14,165.22,93.952
710.0,16.972,9.8128,2.6555,5.4,172.36,165.47,91.802
720.0,16.868,9.7273,2.5648,5.4,172.68,165.21,90.12
730.0,16.812,9.6397,2.5625,5.4,172.73,165.25,88.24
740.0,16.749,9.5775,2.484,5.4,172.98,165.65,85.673
750.0,16.667,9.5016,2.4975,5.4,173.33,165.38,84.102
760.0,16.616,9.4341,2.4001,5.4,172.99,165.72,82.799
770.0,16.544,9.3182,2.371,5.4,172.89,165.88,79.494
780.0,16.489,9.2797,2.4428,5.4,173.38,166.55,79.892
790.0,16.443,9.1998,2.3006,5.4,173.13,166.63,77.161
800.0,16.389,9.1272,2.3585,5.4,172.96,165.77,76.09
810.0,16.328,9.0783,2.3659,5.4,173.13,166.5,74.145
820.0,16.267,9.006,2.2959,5.4,173.18,166.46,71.977
830.0,16.224,8.9556,2.279,5.4,173.32,166.68,70.733
840.0,16.175,8.9058,2.2962,5.4,173.38,167.06,69.766
850.0,16.119,8.8274,2.2085,5.4,173.2,166.79,67.456
860.0,16.093,8.8028,2.2694,5.4,173.79,166.92,66.822
870.0,16.046,8.7501,2.2567,5.4,173.58,167.91,65.302
880.0,16.002,8.6949,2.2404,5.4,173.88,167.28,63.449
890.0,15.963,8.6594,2.2369,5.4,174.03,167.41,62.271
900.0,15.927,8.6026,2.2064,5.4,173.92,167.56,60.397
910.0,15.882,8.5586,2.2249,5.4,173.71,167.53,59.494
920.0,15.849,8.5167,2.2177,5.4,173.8,167.77,58.523
930.0,15.815,8.478,2.2487,5.4,174.39,167.7,56.978
940.0,15.764,8.4352,2.2585,5.4,173.93,168.22,55.991
950.0,15.759,8.3911,2.2718,5.4,174.04,167.7,55.603
960.0,15.723,8.3566,2.222,5.4,174.53,168.34,54.349
970.0,15.687,8.3221,2.2592,5.4,173.78,167.88,53.792
980.0,15.656,8.288,2.2538,5.4,174.22,168.32,52.08
990.0,15.626,8.2505,2.2231,5.4,174.55,168.74,50.406
1000.0,15.612,8.2213,2.2659,5.4,173.99,167.4,50.271
