	65	70	75	
400	25.747	20.295	13.168	
410	24.804	19.135	11.667	
420	23.904	18.088	10.529	
430	23.295	17.245	9.517	
440	22.669	16.536	8.7239	
450	22.065	15.882	7.9952	
460	21.637	15.28	7.3921	
470	21.202	14.786	6.7752	
480	20.816	14.375	6.3532	
490	20.452	13.913	5.9608	
500	20.153	13.575	5.5462	
510	19.871	13.231	5.2189	
520	19.614	12.914	4.898	
530	19.36	12.61	4.5791	
540	19.142	12.359	4.3211	
550	18.919	12.122	4.1257	
560	18.733	11.908	3.8727	
570	18.547	11.691	3.6526	
580	18.376	11.505	3.5023	
590	18.223	11.316	3.3706	
600	18.084	11.094	3.19	
610	17.962	10.955	3.0538	
620	17.814	10.824	2.9493	
630	17.711	10.668	2.8253	
640	17.57	10.534	2.734	
650	17.47	10.415	2.6695	
660	17.362	10.294	2.5851	
670	17.268	10.18	2.5135	
680	17.176	10.064	2.4056	
690	17.088	9.9665	2.3569	
700	17.015	9.8517	2.2954	
710	16.917	9.7399	2.255	
720	16.841	9.6751	2.2435	
730	16.774	9.5642	2.1471	
740	16.71	9.5182	2.1469	
750	16.644	9.4358	2.0614	
760	16.578	9.3302	2.0113	
770	16.521	9.2653	2.0154	
780	16.44	9.221	2.0226	
790	16.386	9.1325	1.9964	
800	16.336	9.1028	2.0153	
810	16.285	9.0197	2.0392	
820	16.227	8.954	1.9684	
830	16.185	8.8921	1.9904	
840	16.134	8.8326	1.9955	
850	16.072	8.8009	1.9775	
860	16.03	8.7527	1.9808	
870	15.999	8.6859	1.9795	
880	15.944	8.6457	1.953	
890	15.924	8.5961	1.9644	
900	15.878	8.5523	1.9744	
910	15.835	8.5114	1.984	
920	15.805	8.4621	1.9971	
930	15.761	8.4237	2.0205	
940	15.727	8.3992	2.025	
950	15.716	8.3485	2.0842	
960	15.681	8.3162	2.0791	
970	15.643	8.2883	2.01	
980	15.609	8.2425	2.0479	
990	15.578	8.2067	2.0541	
1000	15.559	8.2045	2.0586	
