wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
300.0,37.472,37.247,37.67,25.1,108.01,91.236,71.63
310.0,36.303,35.975,36.342,25.1,109.05,92.118,72.296
320.0,35.608,35.084,35.527,25.1,110.18,93.296,73.135
330.0,35.037,34.387,34.804,25.1,111.62,94.755,74.356
340.0,34.597,33.883,34.203,25.1,113.37,96.415,75.794
350.0,34.442,33.617,33.806,25.1,115.26,98.381,77.813
360.0,34.631,33.622,33.559,25.1,118.35,102.09,81.375
370.0,33.962,32.581,32.001,25.1,123.66,107.65,86.886
380.0,31.986,30.137,29.276,25.1,127.57,111.49,89.625
390.0,30.371,28.138,27.192,25.1,129.08,112.72,89.87
400.0,29.068,26.67,25.6,25.1,130.15,113.35,89.615
410.0,28.03,25.472,24.256,25.1,130.95,113.78,89.167
420.0,27.159,24.486,23.223,25.1,131.68,114.18,88.761
430.0,26.442,23.588,22.286,25.1,132.39,114.6,88.362
440.0,25.762,22.784,21.454,25.1,133.03,114.96,87.972
450.0,25.145,22.014,20.644,25.1,133.69,115.37,87.569
460.0,24.603,21.384,19.964,25.1,134.36,115.73,87.181
470.0,24.139,20.807,19.331,25.1,134.93,116.07,86.835
480.0,23.664,20.24,18.734,25.1,135.57,116.46,86.482
490.0,23.236,19.704,18.204,25.1,136.14,116.86,86.108
500.0,22.879,19.231,17.704,25.1,136.68,117.19,85.78
510.0,22.514,18.805,17.228,25.1,137.25,117.55,85.44
520.0,22.192,18.374,16.826,25.1,137.76,117.93,85.132
530.0,21.889,17.998,16.399,25.1,138.28,118.29,84.787
540.0,21.598,17.619,15.989,25.1,138.82,118.66,84.51
550.0,21.334,17.272,15.618,25.1,139.35,119.03,84.184
560.0,21.062,16.948,15.274,25.1,139.88,119.39,83.866
570.0,20.828,16.646,14.962,25.1,140.38,119.75,83.595
580.0,20.604,16.373,14.673,25.1,140.85,120.1,83.318
590.0,20.384,16.091,14.349,25.1,141.31,120.43,83.014
600.0,20.19,15.799,14.074,25.1,141.75,120.82,82.722
610.0,19.991,15.553,13.796,25.1,142.23,121.16,82.438
620.0,19.814,15.312,13.541,25.1,142.67,121.51,82.137
630.0,19.639,15.077,13.283,25.1,143.12,121.88,81.873
640.0,19.476,14.856,13.053,25.1,143.56,122.29,81.603
650.0,19.327,14.643,12.813,25.1,143.97,122.62,81.396
660.0,19.175,14.444,12.592,25.1,144.36,122.97,81.122
670.0,19.038,14.26,12.399,25.1,144.74,123.3,80.895
680.0,18.902,14.069,12.19,25.1,145.11,123.68,80.599
690.0,18.77,13.906,11.988,25.1,145.55,124.04,80.379
700.0,18.657,13.734,11.802,25.1,145.94,124.37,80.113
710.0,18.527,13.567,11.598,25.1,146.3,124.72,79.855
720.0,18.418,13.408,11.432,25.1,146.66,125.06,79.637
730.0,18.307,13.251,11.255,25.1,147.04,125.37,79.384
740.0,18.227,13.11,11.096,25.1,147.37,125.72,79.135
750.0,18.118,12.958,10.941,25.1,147.78,126.1,78.88
760.0,18.021,12.815,10.777,25.1,148.11,126.44,78.61
770.0,17.941,12.694,10.637,25.1,148.42,126.77,78.403
780.0,17.835,12.554,10.476,25.1,148.77,127.11,78.147
790.0,17.758,12.424,10.328,25.1,149.09,127.45,77.895
800.0,17.679,12.312,10.203,25.1,149.4,127.76,77.679
810.0,17.589,12.193,10.068,25.1,149.71,128.09,77.433
820.0,17.507,12.064,9.9196,25.1,150.07,128.44,77.164
830.0,17.455,11.984,9.831,25.1,150.29,128.68,76.973
840.0,17.377,11.868,9.7004,25.1,150.62,129.04,76.724
850.0,17.313,11.767,9.5682,25.1,150.94,129.31,76.503
860.0,17.239,11.68,9.4561,25.1,151.2,129.66,76.241
870.0,17.177,11.575,9.3496,25.1,151.48,129.95,75.995
880.0,17.103,11.468,9.2309,25.1,151.79,130.3,75.75
890.0,17.049,11.388,9.1424,25.1,152.02,130.57,75.575
900.0,16.99,11.305,9.042,25.1,152.3,130.87,75.354
910.0,16.931,11.22,8.9377,25.1,152.58,131.14,75.084
920.0,16.885,11.139,8.8521,25.1,152.81,131.43,74.892
930.0,16.828,11.052,8.7488,25.1,153.04,131.71,74.657
940.0,16.782,10.971,8.6553,25.1,153.28,132.04,74.404
950.0,16.732,10.897,8.5669,25.1,153.56,132.29,74.173
960.0,16.685,10.828,8.4741,25.1,153.75,132.62,73.952
970.0,16.639,10.736,8.3924,25.1,154.0,132.84,73.729
980.0,16.592,10.664,8.3075,25.1,154.31,133.15,73.5
990.0,16.544,10.593,8.2194,25.1,154.57,133.43,73.214
1000.0,16.51,10.537,8.1544,25.1,154.68,133.7,73.087
