	65	70	75	
400	150.79	138.48	114.93	
410	151.36	138.78	113.76	
420	152.26	139.16	112.6	
430	152.64	139.53	111.53	
440	153.26	139.86	110.17	
450	153.64	140.04	109.42	
460	153.95	140.32	108.32	
470	154.43	140.53	107.15	
480	154.79	140.97	106.24	
490	155.28	141.07	105.25	
500	155.69	141.24	104.01	
510	156.01	141.58	103.05	
520	156.37	141.77	102.05	
530	156.69	142.14	101.11	
540	157.05	142.3	100.16	
550	157.38	142.56	99.126	
560	157.69	142.72	98.206	
570	157.93	143.14	97.309	
580	158.31	143.41	96.375	
590	158.58	143.59	95.594	
600	158.88	143.9	94.701	
610	159.25	144.09	93.704	
620	159.34	144.38	92.923	
630	159.75	144.66	91.924	
640	159.98	144.86	91.32	
650	160.2	145.17	90.579	
660	160.43	145.34	89.765	
670	160.77	145.46	88.985	
680	160.83	146	88.188	
690	161.18	146.16	87.351	
700	161.55	146.48	86.609	
710	161.5	146.64	85.912	
720	161.87	146.87	85.408	
730	162.01	147.05	84.461	
740	162.18	147.56	83.659	
750	162.62	147.35	83.088	
760	162.8	147.93	82.5	
770	162.82	148.31	81.702	
780	162.94	148.22	80.939	
790	163.2	148.66	80.345	
800	163.53	148.7	79.505	
810	163.51	149.04	79.044	
820	163.71	149.28	78.473	
830	163.96	149.52	77.762	
840	164.21	149.74	77.173	
850	164.35	150.03	76.352	
860	164.67	150.31	76.055	
870	164.67	150.18	75.4	
880	164.83	150.59	74.693	
890	165.04	150.85	74.092	
900	165.1	150.91	73.471	
910	165.24	151.28	72.891	
920	165.42	151.4	72.396	
930	165.66	151.55	71.728	
940	165.7	151.71	71.368	
950	165.51	152.06	70.682	
960	166.18	152.11	70.221	
970	165.99	152.39	69.432	
980	166.31	152.55	68.852	
990	166.27	152.81	68.511	
1000	166.21	152.67	67.994	
