wavelength,psi60,psi65,psi70,thickness,delta60,delta65,delta70
400.0,25.747,20.295,13.168,4.5,168.03,161.94,147.85
410.0,24.804,19.135,11.667,4.5,168.21,162.76,147.17
420.0,23.904,18.088,10.529,4.5,168.96,162.79,146.27
430.0,23.295,17.245,9.517,4.5,168.7,162.98,145.19
440.0,22.669,16.536,8.7239,4.5,170.43,163.3,143.82
450.0,22.065,15.882,7.9952,4.5,169.9,163.07,143.03
460.0,21.637,15.28,7.3921,4.5,170.31,164.03,142.15
470.0,21.202,14.786,6.7752,4.5,169.88,164.3,140.25
480.0,20.816,14.375,6.3532,4.5,170.88,164.5,139.13
490.0,20.452,13.913,5.9608,4.5,170.71,164.56,137.5
500.0,20.153,13.575,5.5462,4.5,170.89,164.83,135.73
510.0,19.871,13.231,5.2189,4.5,171.23,164.78,133.79
520.0,19.614,12.914,4.898,4.5,171.4,165.46,132.77
530.0,19.36,12.61,4.5791,4.5,171.25,165.18,130.76
540.0,19.142,12.359,4.3211,4.5,171.42,165.3,129.07
550.0,18.919,12.122,4.1257,4.5,171.6,165.52,127.03
560.0,18.733,11.908,3.8727,4.5,171.88,165.74,125.37
570.0,18.547,11.691,3.6526,4.5,171.97,165.57,123.63
580.0,18.376,11.505,3.5023,4.5,172.55,165.5,121.64
590.0,18.223,11.316,3.3706,4.5,172.36,165.95,119.15
600.0,18.084,11.094,3.19,4.5,172.13,165.95,117.12
610.0,17.962,10.955,3.0538,4.5,172.59,165.89,114.96
620.0,17.814,10.824,2.9493,4.5,172.71,166.19,112.74
630.0,17.711,10.668,2.8253,4.5,173.58,166.91,110.69
640.0,17.57,10.534,2.734,4.5,173.54,166.3,108.55
650.0,17.47,10.415,2.6695,4.5,173.21,166.65,106.17
660.0,17.362,10.294,2.5851,4.5,173.25,166.96,104.22
670.0,17.268,10.18,2.5135,4.5,173.1,166.45,101.29
680.0,17.176,10.064,2.4056,4.5,173.16,167.12,99.342
690.0,17.088,9.9665,2.3569,4.5,173.47,167.16,97.292
700.0,17.015,9.8517,2.2954,4.5,173.84,167.11,94.672
710.0,16.917,9.7399,2.255,4.5,173.81,167.23,92.577
720.0,16.841,9.6751,2.2435,4.5,174.29,167.73,90.257
730.0,16.774,9.5642,2.1471,4.5,174.22,167.72,88.251
740.0,16.71,9.5182,2.1469,4.5,174.15,167.23,85.717
750.0,16.644,9.4358,2.0614,4.5,173.89,168.0,82.926
760.0,16.578,9.3302,2.0113,4.5,174.49,168.45,81.94
770.0,16.521,9.2653,2.0154,4.5,174.22,167.75,79.659
780.0,16.44,9.221,2.0226,4.5,173.81,168.42,77.486
790.0,16.386,9.1325,1.9964,4.5,174.14,169.2,74.883
800.0,16.336,9.1028,2.0153,4.5,174.48,169.02,73.561
810.0,16.285,9.0197,2.0392,4.5,175.12,167.69,70.66
820.0,16.227,8.954,1.9684,4.5,174.27,168.64,69.185
830.0,16.185,8.8921,1.9904,4.5,174.61,168.77,68.199
840.0,16.134,8.8326,1.9955,4.5,174.9,169.55,66.035
850.0,16.072,8.8009,1.9775,4.5,175.74,168.22,64.556
860.0,16.03,8.7527,1.9808,4.5,175.13,168.5,63.399
870.0,15.999,8.6859,1.9795,4.5,175.06,168.82,60.558
880.0,15.944,8.6457,1.953,4.5,175.03,169.31,59.319
890.0,15.924,8.5961,1.9644,4.5,175.03,169.75,58.014
900.0,15.878,8.5523,1.9744,4.5,175.61,169.69,56.715
910.0,15.835,8.5114,1.984,4.5,174.83,169.54,55.745
920.0,15.805,8.4621,1.9971,4.5,175.31,169.46,54.262
930.0,15.761,8.4237,2.0205,4.5,175.09,169.8,52.935
940.0,15.727,8.3992,2.025,4.5,174.61,168.98,52.015
950.0,15.716,8.3485,2.0842,4.5,175.01,169.65,52.249
960.0,15.681,8.3162,2.0791,4.5,175.79,168.64,51.459
970.0,15.643,8.2883,2.01,4.5,176.56,170.11,48.098
980.0,15.609,8.2425,2.0479,4.5,174.87,169.88,47.581
990.0,15.578,8.2067,2.0541,4.5,175.76,170.16,46.171
1000.0,15.559,8.2045,2.0586,4.5,175.26,170.03,46.196
