	65	65	70	70	75	75	
300	34.554	130.07	32.901	115.3	31.859	94.982	
310	33.149	131.47	31.211	116.56	29.954	95.658	
320	32.344	132.91	30.198	118.02	28.742	96.783	
330	31.82	134.54	29.488	119.8	27.816	98.386	
340	31.518	136.29	29.023	121.81	27.118	100.39	
350	31.512	138.28	28.885	124.26	26.725	103.1	
360	32.002	141.5	29.259	128.41	26.729	108.17	
370	31.674	147.81	28.499	136.32	25.091	117.39	
380	29.787	152.42	25.955	141.76	21.604	122.65	
390	27.976	154.56	23.642	143.98	18.719	123.57	
400	26.604	155.54	21.935	144.77	16.718	122.73	
410	25.591	156.25	20.683	145.27	15.283	121.72	
420	24.762	156.93	19.657	145.81	14.113	120.82	
430	24.043	157.56	18.768	146.32	13.107	119.9	
440	23.405	158.14	17.981	146.77	12.23	118.9	
450	22.836	158.65	17.281	147.17	11.464	117.82	
460	22.326	159.12	16.656	147.52	10.791	116.66	
470	21.868	159.54	16.097	147.83	10.2	115.45	
480	21.456	159.92	15.594	148.11	9.6783	114.21	
490	21.084	160.28	15.141	148.37	9.2148	112.97	
500	20.747	160.62	14.731	148.62	8.8007	111.73	
510	20.441	160.95	14.358	148.87	8.4279	110.52	
520	20.161	161.26	14.017	149.12	8.0898	109.32	
530	19.904	161.57	13.703	149.38	7.7808	108.15	
540	19.667	161.87	13.413	149.63	7.4971	107	
550	19.447	162.16	13.143	149.89	7.2351	105.86	
560	19.242	162.44	12.892	150.16	6.9926	104.74	
570	19.051	162.72	12.657	150.42	6.7674	103.63	
580	18.872	162.99	12.437	150.69	6.5578	102.53	
590	18.705	163.26	12.231	150.95	6.3624	101.45	
600	18.548	163.51	12.036	151.22	6.1799	100.37	
610	18.399	163.77	11.853	151.48	6.009	99.301	
620	18.259	164.01	11.679	151.74	5.8489	98.239	
630	18.127	164.25	11.516	152	5.6988	97.186	
640	18.002	164.48	11.36	152.25	5.5578	96.14	
650	17.884	164.7	11.213	152.51	5.4251	95.101	
660	17.772	164.92	11.073	152.76	5.3003	94.069	
670	17.665	165.14	10.94	153.01	5.1827	93.046	
680	17.563	165.35	10.813	153.25	5.0718	92.031	
690	17.467	165.55	10.693	153.5	4.9672	91.024	
700	17.375	165.75	10.578	153.74	4.8684	90.024	
710	17.287	165.94	10.468	153.97	4.7751	89.035	
720	17.203	166.13	10.363	154.21	4.6868	88.053	
730	17.123	166.31	10.262	154.44	4.6033	87.081	
740	17.047	166.49	10.166	154.67	4.5243	86.119	
750	16.974	166.66	10.074	154.89	4.4495	85.165	
760	16.904	166.83	9.9862	155.11	4.3786	84.222	
770	16.836	167	9.9016	155.33	4.3113	83.288	
780	16.772	167.16	9.8204	155.55	4.2476	82.365	
790	16.71	167.32	9.7425	155.76	4.1871	81.452	
800	16.651	167.47	9.6676	155.97	4.1296	80.55	
810	16.594	167.62	9.5957	156.18	4.0751	79.659	
820	16.539	167.77	9.5265	156.38	4.0233	78.78	
830	16.487	167.91	9.4598	156.58	3.974	77.911	
840	16.436	168.05	9.3956	156.78	3.9272	77.053	
850	16.387	168.19	9.3338	156.97	3.8826	76.207	
860	16.34	168.32	9.2742	157.17	3.8402	75.372	
870	16.295	168.45	9.2167	157.36	3.7998	74.55	
880	16.251	168.58	9.1612	157.54	3.7614	73.737	
890	16.209	168.7	9.1077	157.73	3.7248	72.938	
900	16.168	168.83	9.056	157.91	3.6899	72.15	
910	16.129	168.94	9.0061	158.09	3.6566	71.374	
920	16.091	169.06	8.9578	158.26	3.6249	70.609	
930	16.054	169.18	8.9112	158.44	3.5946	69.857	
940	16.019	169.29	8.866	158.61	3.5658	69.115	
950	15.985	169.4	8.8224	158.77	3.5382	68.387	
960	15.952	169.5	8.7802	158.94	3.5119	67.669	
970	15.92	169.61	8.7393	159.1	3.4867	66.962	
980	15.889	169.71	8.6997	159.27	3.4627	66.268	
990	15.858	169.81	8.6613	159.42	3.4397	65.585	
1000	15.829	169.91	8.6241	159.58	3.4177	64.912	
