	65	65	70	70	75	75	
300	32.622	165.91	28.761	166.96	22.85	168.34	
310	31.049	179.69	26.807	186.29	20.765	198.65	
320	30.461	192.5	26.492	204.14	21.812	224.87	
330	30.465	204.3	27.164	219.82	24.265	244.55	
340	30.929	214.85	28.453	232.89	27.082	258.64	
350	31.867	224.14	30.219	243.5	29.95	268.8	
360	33.5	232.81	32.645	252.62	33.106	-83.256	
370	34.924	242.84	34.832	262.7	35.859	-74.601	
380	35.269	250.87	35.766	-89.434	37.214	-67.945	
390	35.745	256.3	36.702	-84.374	38.408	-63.842	
400	36.661	260.13	37.989	-80.985	39.824	-61.206	
410	38.049	263.01	39.692	-78.573	41.56	-59.377	
420	39.871	265.26	41.798	-76.721	43.631	-57.926	
430	42.113	267.04	44.307	-75.193	46.042	-56.571	
440	44.796	268.48	47.239	-73.787	48.797	-55.054	
450	47.945	269.69	50.607	-72.286	51.879	-53.083	
460	51.585	-89.226	54.407	-70.424	55.226	-50.303	
470	55.725	-88.118	58.594	-67.841	58.709	-46.283	
480	60.35	-86.814	63.064	-63.996	62.113	-40.511	
490	65.41	-85.032	67.619	-57.992	65.13	-32.489	
500	70.804	-82.217	71.909	-48.331	67.383	-22.045	
510	76.362	-76.979	75.344	-32.897	68.537	-9.8134	
520	81.747	-64.51	77.073	-11.03	68.468	2.6423	
530	85.638	-22.43	76.549	12.035	67.349	13.672	
540	84.029	41.082	74.269	29.575	65.529	22.477	
550	79.556	61.734	71.158	40.897	63.349	29.114	
560	74.932	69.182	67.832	48.06	61.057	34.009	
570	70.592	72.86	64.589	52.743	58.802	37.612	
580	66.631	75.04	61.555	55.94	56.664	40.289	
590	63.059	76.499	58.775	58.215	54.677	42.306	
600	59.859	77.566	56.253	59.897	52.853	43.85	
610	56.999	78.404	53.977	61.184	51.187	45.054	
620	54.445	79.102	51.924	62.203	49.669	46.01	
630	52.161	79.713	50.072	63.036	48.286	46.783	
640	50.114	80.268	48.398	63.737	47.024	47.422	
650	48.274	80.787	46.88	64.343	45.871	47.961	
660	46.615	81.284	45.5	64.881	44.812	48.423	
670	45.114	81.768	44.24	65.369	43.839	48.828	
680	43.752	82.243	43.086	65.821	42.939	49.189	
690	42.51	82.714	42.026	66.246	42.106	49.517	
700	41.374	83.184	41.047	66.652	41.331	49.819	
710	40.332	83.654	40.14	67.043	40.608	50.1	
720	39.373	84.125	39.298	67.423	39.931	50.366	
730	38.486	84.597	38.513	67.795	39.295	50.619	
740	37.664	85.072	37.779	68.161	38.696	50.862	
750	36.9	85.548	37.091	68.523	38.13	51.098	
760	36.188	86.026	36.443	68.881	37.594	51.326	
770	35.523	86.505	35.832	69.237	37.084	51.55	
780	34.899	86.986	35.254	69.591	36.598	51.769	
790	34.313	87.468	34.707	69.944	36.135	51.984	
800	33.762	87.951	34.187	70.295	35.692	52.196	
810	33.242	88.434	33.692	70.645	35.267	52.405	
820	32.75	88.917	33.219	70.994	34.858	52.611	
830	32.284	89.401	32.768	71.342	34.466	52.814	
840	31.841	89.883	32.335	71.689	34.087	53.016	
850	31.421	90.365	31.921	72.035	33.722	53.215	
860	31.021	90.846	31.523	72.38	33.368	53.412	
870	30.639	91.326	31.14	72.723	33.027	53.607	
880	30.274	91.804	30.771	73.066	32.695	53.799	
890	29.926	92.28	30.415	73.407	32.374	53.99	
900	29.592	92.755	30.071	73.747	32.061	54.179	
910	29.272	93.227	29.739	74.085	31.757	54.365	
920	28.964	93.698	29.418	74.423	31.462	54.55	
930	28.669	94.166	29.106	74.758	31.174	54.732	
940	28.385	94.631	28.804	75.092	30.893	54.913	
950	28.111	95.095	28.511	75.425	30.619	55.091	
960	27.848	95.555	28.227	75.755	30.351	55.268	
970	27.594	96.013	27.95	76.084	30.09	55.442	
980	27.348	96.467	27.681	76.411	29.834	55.614	
990	27.111	96.919	27.419	76.737	29.584	55.784	
1000	26.882	97.368	27.164	77.06	29.339	55.952	
