	65	65	70	70	75	75	
300	36.059	79.273	36.39	64.668	37.518	49.131	
310	31.061	112.97	30.026	96.576	30.22	75.926	
320	30.445	139.55	27.451	127.41	24.564	107.74	
330	30.073	163.12	25.749	158.81	19.61	149.73	
340	29.857	174.91	25.29	169.92	18.767	159.94	
350	30.212	154.34	26.551	141.45	22.762	119.61	
360	31.675	135	29.587	117.48	28.625	93.506	
370	33.352	115.87	32.82	96.498	33.599	73.953	
380	34.689	101.57	35.229	82.309	36.738	61.858	
390	37.301	92.265	38.522	73.889	40.146	55.165	
400	41.699	86.156	43.295	68.508	44.588	50.783	
410	48.228	81.899	49.91	64.076	50.392	46.344	
420	57.122	78.034	58.408	57.929	57.3	38.857	
430	68.093	71.995	67.775	44.964	63.761	24.394	
440	79.577	52.982	74.606	14.695	66.915	1.7718	
450	83.173	34.196	73.881	26.341	65.471	20.284	
460	74.747	70.721	68.15	48.978	61.556	34.412	
470	66.64	78.959	62.074	58.86	57.326	42.245	
480	60.143	82.423	56.923	63.772	53.594	46.671	
490	55.052	84.423	52.762	66.6	50.488	49.345	
500	51.044	85.836	49.417	68.449	47.933	51.092	
510	47.845	86.975	46.698	69.796	45.817	52.327	
520	45.248	87.976	44.453	70.867	44.041	53.264	
530	43.102	88.899	42.569	71.777	42.527	54.021	
540	41.299	89.777	40.961	72.589	41.216	54.664	
550	39.761	90.625	39.569	73.336	40.065	55.231	
560	38.431	91.452	38.346	74.04	39.04	55.746	
570	37.267	92.263	37.26	74.713	38.117	56.222	
580	36.237	93.059	36.284	75.361	37.278	56.669	
590	35.315	93.841	35.398	75.989	36.507	57.091	
600	34.484	94.61	34.589	76.601	35.794	57.494	
610	33.729	95.367	33.843	77.197	35.129	57.879	
620	33.039	96.111	33.152	77.78	34.507	58.249	
630	32.403	96.842	32.507	78.349	33.92	58.604	
640	31.815	97.561	31.903	78.907	33.365	58.945	
650	31.267	98.268	31.335	79.453	32.838	59.274	
660	30.757	98.963	30.798	79.987	32.336	59.591	
670	30.278	99.645	30.289	80.511	31.856	59.896	
680	29.827	100.32	29.805	81.025	31.396	60.191	
690	29.403	100.98	29.344	81.529	30.954	60.475	
700	29.001	101.62	28.903	82.023	30.529	60.75	
710	28.62	102.26	28.481	82.508	30.119	61.014	
720	28.258	102.89	28.077	82.984	29.723	61.27	
730	27.913	103.5	27.688	83.452	29.34	61.516	
740	27.584	104.11	27.314	83.911	28.97	61.755	
750	27.27	104.71	26.953	84.362	28.61	61.985	
760	26.969	105.29	26.605	84.806	28.262	62.207	
770	26.681	105.87	26.269	85.242	27.923	62.421	
780	26.404	106.44	25.944	85.671	27.594	62.628	
790	26.139	107	25.63	86.093	27.274	62.829	
800	25.883	107.55	25.325	86.508	26.962	63.022	
810	25.637	108.09	25.029	86.917	26.659	63.21	
820	25.4	108.62	24.742	87.32	26.363	63.391	
830	25.171	109.15	24.464	87.717	26.074	63.565	
840	24.951	109.67	24.193	88.108	25.793	63.735	
850	24.738	110.18	23.93	88.494	25.518	63.898	
860	24.532	110.68	23.674	88.874	25.249	64.056	
870	24.332	111.17	23.425	89.249	24.987	64.209	
880	24.139	111.66	23.182	89.619	24.73	64.357	
890	23.952	112.15	22.945	89.985	24.479	64.5	
900	23.771	112.62	22.715	90.345	24.234	64.639	
910	23.596	113.09	22.49	90.701	23.994	64.773	
920	23.426	113.55	22.27	91.053	23.759	64.903	
930	23.26	114.01	22.056	91.4	23.528	65.028	
940	23.1	114.46	21.847	91.743	23.303	65.15	
950	22.944	114.91	21.643	92.083	23.082	65.268	
960	22.792	115.35	21.443	92.418	22.865	65.382	
970	22.645	115.78	21.248	92.75	22.653	65.492	
980	22.502	116.21	21.057	93.078	22.445	65.599	
990	22.363	116.63	20.871	93.403	22.241	65.702	
1000	22.227	117.05	20.688	93.724	22.04	65.802	
